Title,"Academic staff (excluding atypical) by age group, disability status, ethnicity, nationality, sex, contract level and country of HE provider",,,,
Total,Total,Wales,Total,2018/19,10265
Total,Total,All,Other contract level,2018/19,189360
Total,Total,All,Other senior academic,2018/19,6185
Total,Total,All,Professor,2018/19,21520
Total,Total,All,Total,2018/19,217065
Total,Total,England,Other contract level,2019/20,161585
Total,Total,England,Other senior academic,2019/20,5175
Total,Total,England,Professor,2019/20,18845
Total,Total,England,Total,2019/20,185600
Total,Total,Northern Ireland,Other contract level,2019/20,2985
Total,Total,Northern Ireland,Other senior academic,2019/20,160
Total,Total,Northern Ireland,Professor,2019/20,370
Total,Total,Northern Ireland,Total,2019/20,3515
Total,Total,Scotland,Other contract level,2019/20,21180
Total,Total,Scotland,Other senior academic,2019/20,500
Total,Total,Scotland,Professor,2019/20,2565
Total,Total,Scotland,Total,2019/20,24250
Total,Total,Wales,Other contract level,2019/20,8855
Total,Total,Wales,Other senior academic,2019/20,280
Total,Total,Wales,Professor,2019/20,1030
Total,Total,Wales,Total,2019/20,10165
Total,Total,All,Other contract level,2019/20,194600
Total,Total,All,Other senior academic,2019/20,6115
Total,Total,All,Professor,2019/20,22810
Total,Total,All,Total,2019/20,223525
Total,Total,England,Other contract level,2020/21,161900
Total,Total,England,Other senior academic,2020/21,5215
Total,Total,England,Professor,2020/21,18850
Total,Total,England,Total,2020/21,185965
Total,Total,Northern Ireland,Other contract level,2020/21,3005
Total,Total,Northern Ireland,Other senior academic,2020/21,200
Total,Total,Northern Ireland,Professor,2020/21,375
Total,Total,Northern Ireland,Total,2020/21,3585
Total,Total,Scotland,Other contract level,2020/21,21785
Total,Total,Scotland,Other senior academic,2020/21,545
Total,Total,Scotland,Professor,2020/21,2610
Total,Total,Scotland,Total,2020/21,24940
Total,Total,Wales,Other contract level,2020/21,8765
Total,Total,Wales,Other senior academic,2020/21,255
Total,Total,Wales,Professor,2020/21,1020
Total,Total,Wales,Total,2020/21,10045
Total,Total,All,Other contract level,2020/21,195455
Total,Total,All,Other senior academic,2020/21,6220
Total,Total,All,Professor,2020/21,22855
Total,Total,All,Total,2020/21,224530
Total,Total,England,Other contract level,2021/22,169565
Total,Total,England,Other senior academic,2021/22,5335
Total,Total,England,Professor,2021/22,19415
Total,Total,England,Total,2021/22,194320
Total,Total,Northern Ireland,Other contract level,2021/22,3065
Total,Total,Northern Ireland,Other senior academic,2021/22,190
Total,Total,Northern Ireland,Professor,2021/22,400
Total,Total,Northern Ireland,Total,2021/22,3655
Total,Total,Scotland,Other contract level,2021/22,22555
Total,Total,Scotland,Other senior academic,2021/22,550
Total,Total,Scotland,Professor,2021/22,2670
Total,Total,Scotland,Total,2021/22,25775
Total,Total,Wales,Other contract level,2021/22,8895
Total,Total,Wales,Other senior academic,2021/22,255
Total,Total,Wales,Professor,2021/22,1030
Total,Total,Wales,Total,2021/22,10180
Total,Total,All,Other contract level,2021/22,204080
Total,Total,All,Other senior academic,2021/22,6330
Total,Total,All,Professor,2021/22,23515
Total,Total,All,Total,2021/22,233930
